"Story","Title","Result","Date","Stability","Duration (s)"
"Originacion","Aprobacion de Creditos - Aprobar el credito desde aprobacion de creditos","SUCCESS","2020-03-26T10:17:09.566-05:00[America/Bogota]","0.0","496.1"
"Originacion","Aprobacion de Creditos - Marcar el credito como pendiente en aprobacion de creditos","SUCCESS","2020-03-26T10:25:25.676-05:00[America/Bogota]","0.0","372.64"
"Originacion","Aprobacion de Creditos - Regresar el credito desde aprobacion de creditos","SUCCESS","2020-03-26T10:31:38.317-05:00[America/Bogota]","0.0","363.64"
"Originacion","Chequeo Documentos - Aprobacion chequeo de documentos","SUCCESS","2020-03-26T11:06:52.752-05:00[America/Bogota]","0.0","313.77"
"Originacion","Chequeo Documentos - Aprobacion chequeo documentos no exitosa","SUCCESS","2020-03-26T11:12:06.526-05:00[America/Bogota]","0.0","271.33"
"Originacion","Chequeo Documentos - Chequeo de documentos estado Pendiente","SUCCESS","2020-03-26T11:16:37.863-05:00[America/Bogota]","0.0","293.29"
"Originacion","Confirmacion - Aprobacion del paso de confirmacion de un credito","SUCCESS","2020-03-26T11:23:28.608-05:00[America/Bogota]","0.0","335.14"
"Originacion","Confirmacion - Regresar el credito desde el paso de confirmacion","SUCCESS","2020-03-26T11:29:03.751-05:00[America/Bogota]","0.0","347.69"
"Originacion","Confirmacion - Marcar como pendiente el credito en el paso de confirmacion","SUCCESS","2020-03-26T11:34:51.447-05:00[America/Bogota]","0.0","334.46"
"Originacion","Formalizacion - Regresar el credito desde formalizacion","SUCCESS","2020-03-26T11:44:55.154-05:00[America/Bogota]","0.0","741.77"
"Originacion","Formalizacion - Marcar el credito como pendiente en formalizacion","SUCCESS","2020-03-26T11:57:16.927-05:00[America/Bogota]","0.0","668.02"
"Originacion","Formalizacion - Aprobar el credito desde formalizacion","SUCCESS","2020-03-26T12:08:24.957-05:00[America/Bogota]","0.0","731.53"
"Originacion","Tesoreria - Regresar el credito desde tesoreria","FAILURE","2020-03-26T13:05:58.788-05:00[America/Bogota]","0.0","44.54"
"Originacion","Tesoreria - Marcar el credito como pendiente en tesoreria","SUCCESS","2020-03-26T13:06:43.334-05:00[America/Bogota]","0.0","822.64"
"Originacion","Incorporacion - Aprobar el credito desde incorporacion","SUCCESS","2020-03-26T14:38:28.319-05:00[America/Bogota]","0.0","652.02"
"Originacion","Incorporacion - Marcar el credito como pendiente en incorporacion","SUCCESS","2020-03-26T14:49:20.339-05:00[America/Bogota]","0.0","579.74"
"Originacion","Incorporacion - Regresar el credito desde incorporacion","ERROR","2020-03-26T14:59:00.081-05:00[America/Bogota]","0.0","69.29"
